gene_id,moduleColor,GStraits1.num_LTR,p.GS.traits1.num_LTR,MM.plum1,p.MMplum1,MM.antiquewhite3,p.MMantiquewhite3,MM.deeppink1,p.MMdeeppink1,MM.moccasin,p.MMmoccasin,MM.maroon,p.MMmaroon,MM.antiquewhite,p.MMantiquewhite,MM.lightcoral,p.MMlightcoral,MM.darkgoldenrod3,p.MMdarkgoldenrod3,MM.mediumorchid,p.MMmediumorchid,MM.indianred1,p.MMindianred1,MM.deeppink,p.MMdeeppink,MM.antiquewhite1,p.MMantiquewhite1,MM.black,p.MMblack,MM.bisque4,p.MMbisque4,MM.deeppink2,p.MMdeeppink2,MM.cornsilk,p.MMcornsilk,MM.darkolivegreen1,p.MMdarkolivegreen1,MM.darkturquoise,p.MMdarkturquoise,MM.lightblue1,p.MMlightblue1,MM.cornflowerblue,p.MMcornflowerblue,MM.darksalmon,p.MMdarksalmon,MM.lightpink2,p.MMlightpink2,MM.plum3,p.MMplum3,MM.coral,p.MMcoral,MM.darkseagreen2,p.MMdarkseagreen2,MM.antiquewhite4,p.MMantiquewhite4,MM.darkolivegreen2,p.MMdarkolivegreen2,MM.mistyrose4,p.MMmistyrose4,MM.cornsilk2,p.MMcornsilk2,MM.tan4,p.MMtan4,MM.palevioletred3,p.MMpalevioletred3,MM.lightskyblue2,p.MMlightskyblue2,MM.floralwhite,p.MMfloralwhite,MM.salmon1,p.MMsalmon1,MM.tomato2,p.MMtomato2,MM.coral4,p.MMcoral4,MM.sienna2,p.MMsienna2,MM.blueviolet,p.MMblueviolet,MM.brown2,p.MMbrown2,MM.blue3,p.MMblue3,MM.thistle,p.MMthistle
PRICKLE2,plum1,0.9861809183404616,2.8513103246207593e-4,0.9640754179429291,0.0019126816995136034,0.8229368505020811,0.04425145319035058,-0.7616794333451916,0.07842712876675581,-0.7207634085193652,0.10607314332403783,-0.6437413520598412,0.16777212260762112,-0.769637195706568,0.07348819844704021,-0.6495651916594823,0.16268933701570684,0.5632110754442051,0.2445105545219814,0.6989993883518457,0.12226651869477387,0.5049887320845415,0.306906404069154,0.6232603754591299,0.18616327257477838,-0.6367195415995572,0.17398748725928187,0.40999166370772067,0.4194709024850592,-0.4287825152916851,0.39624301283981617,0.5646847419434662,0.24300307642051527,0.36416208442098535,0.47790337302097774,-0.4705601704527565,0.3462570781108843,0.38771691044808276,0.44756629080757887,-0.43700283407684615,0.38622328722122756,0.41114585988423524,0.4180314469875587,-0.3157203809414864,0.5421548311763305,0.4425717361494659,0.3794856015838176,-0.24743274256210263,0.6364251688659215,0.2793010347746965,0.5919424545487213,-0.36384831198340656,0.47831166950302817,-0.15425434098824095,0.770453683395418,0.1644413305026597,0.755561329240852,0.11832374152738073,0.8233426839425533,-0.31378155036005034,0.5447749615398971,-0.29687380025702775,0.5677716452789618,-0.1251850924209062,0.813203268399027,-0.2765479777209945,0.5957530599428404,-0.0074967210416099885,0.9887551290985439,-0.17364466288452954,0.742150913326036,0.12079903973072452,0.8196828148407845,0.04420416631969972,0.9337369381748346,-0.0894492601305755,0.8661839591786441,-0.09557530704001004,0.8570735624186383,-0.0022674018208614865,0.99659890309719,0.045408089481225246,0.9319346791251915,0.11647827725669324,0.8260727255201614
ZCWPW2,plum1,0.9859585004155118,2.943613287916717e-4,0.9462977147867275,0.0042484661940008495,0.8508536840815337,0.03170808350218564,-0.8620763830942879,0.027222530902508646,-0.7860080884134014,0.06378919094119974,-0.7183120933078152,0.10784641834130831,-0.6829028610327194,0.13488374022806132,-0.7745469269101952,0.07051384518380757,0.7581853935734084,0.08064148543231468,0.5779633946379852,0.22958684130609125,0.6139079567074077,0.19482379481147943,0.6446970925708831,0.1669334868059223,-0.5414199512650808,0.2672247943891134,0.49708451955981403,0.3157862781240271,-0.4642028077005431,0.3537099846105509,0.45337633156025653,0.3665312773554761,0.4148441926471816,0.413430162757095,-0.5061012716877796,0.3056641020498981,0.4423762763515516,0.3797213896491475,-0.29025404830841356,0.5768455038148204,0.43029221519781047,0.3943962781772437,-0.32072435200053007,0.535408984505709,0.29047701603990256,0.5765392505496224,-0.40996470224274306,0.4195045470726189,0.4099827348772863,0.4194820444666978,-0.1911563115680204,0.7167580287534907,-0.3744884573142266,0.4645267451191553,0.13207496393614335,0.8030394984661099,0.10372009648549008,0.8449777583281534,-0.07301449309407866,0.8906728847324314,-0.04153211283053052,0.9377376504653987,-0.19785943812149615,0.7070837788025595,-0.12897374634242736,0.8076120697890471,-0.09634747297334693,0.8559259794135349,-0.08307473320049287,0.8756745666503356,0.02606353983725317,0.9609135428310986,-0.013892792126013616,0.9791621525326126,-0.06623291131791295,0.9007959082425198,0.06600106515662993,0.9011421572249009,0.16044199278882817,0.7614020302688522,-0.04827811795454016,0.9276390858237678,-0.08272843184187217,0.8761904486593992
ZFP37,plum1,0.985884296262813,2.974733391863824e-4,0.9713826432481785,0.0012167115245719242,0.7312601236624912,0.09862733411960908,-0.7730567137263827,0.07141072378430473,-0.8141454572424123,0.04860298105209568,-0.8079423833265512,0.05178706125568927,-0.6107931242007191,0.1977440717980963,-0.6959590388611122,0.1246084481133528,0.6739638315442416,0.14212062031404868,0.5353094927580686,0.2737339020928152,0.7276025667320958,0.10119454844577998,0.5982264941059783,0.20970539365997656,-0.5273662717461086,0.28228487638358946,0.4089642811909186,0.42075358087917025,-0.39135949171291823,0.44293151292860805,0.3420680008000713,0.5069107756405874,0.48161215439468974,0.333436802371889,-0.34421743407164007,0.504066260710361,0.4877294971722733,0.326416315855327,-0.34980176964344256,0.496698441332943,0.3333661962599175,0.5184747018230768,-0.3692227020744297,0.4713331638511173,0.3718769435136043,0.4678984736051794,-0.498227788946596,0.3144960902010729,0.24523683792621706,0.6395191505259832,-0.26135448201396483,0.616894338200145,-0.29652623066371514,0.5682471043679448,0.24297057047594417,0.6427159914258144,0.15869543132183764,0.7639551649257444,-0.04206066653293282,0.9369462049562256,-0.10514069474824046,0.8428701002361453,-0.26152568634054957,0.6166550846701275,0.0018213877314367328,0.9972679214240292,-0.13088532891708882,0.8047931029018005,0.02732286647410361,0.959025899081994,-0.04037515360968942,0.9394701784249426,0.15801498632371794,0.7649502377455305,0.10580781262778179,0.8418805558016285,0.03128174619775405,0.9530926860429084,0.044465473957493735,0.9333457471505144,-0.06882964918267633,0.8969185671666597,0.014937146183693748,0.9775959471000608
SGCZ,plum1,0.981134693734595,5.304925915519462e-4,0.9515949774864452,0.0034578617046661505,0.804932348435775,0.053365785515228796,-0.7599480784302597,0.07952090057978578,-0.808595098027047,0.05144761540199309,-0.6488916508378683,0.163273804507846,-0.6895145793489029,0.12963621164184472,-0.7305894634695378,0.09909587299904207,0.6198790051461577,0.18927574026212388,0.6241618463248447,0.18533709564452844,0.5863923704705588,0.22122871532560845,0.7248322497176346,0.10315845791035637,-0.5841358590324179,0.22345408292879193,0.3969878244517878,0.4358007714466295,-0.43275637387575533,0.3913883304017449,0.5635911026624901,0.2441214565095621,0.3004421829609012,0.5628965082881958,-0.5207420931535297,0.2894922830048672,0.4460805244693505,0.37526151204217667,-0.30311659217816167,0.5592502377288302,0.34466445289350406,0.503475283665616,-0.21471296508115378,0.6828798641532264,0.3580177541459408,0.4859181381139,-0.3665414301178389,0.47481075555936686,0.343053261336085,0.5056063121698599,-0.38633234294410895,0.4493320542077521,-0.2893309482060449,0.5781138713765631,0.14450376244624136,0.7847530722374335,0.008107029542749439,0.9878397220987889,-0.2110449648612341,0.6881325216689866,-0.20027604099950944,0.7036025238308135,-0.21446402358124966,0.683236081431013,-0.198770479127571,0.7057709626434239,-0.019526740636867015,0.9707136117553153,-0.16872965138599727,0.7493073637988802,-0.038977801387592735,0.9415629068012987,0.10505666469758292,0.8429947530518678,-0.016117147433666965,0.9758263721642824,-0.0747171240352014,0.8881328736720435,0.11291878053461839,0.8313417231788983,0.05590585583318997,0.9162285821401396,0.11699092100382948,0.8253142385851537
FAM169A,plum1,0.98112762619069,5.308888861984963e-4,0.9755748428454944,8.875965715167248e-4,0.7287014057855337,0.10042020549131817,-0.7701988419702449,0.07314512282134003,-0.7757910443428933,0.06976903018154862,-0.8185973608837376,0.046375675379641004,-0.6233638319211583,0.18606837992512587,-0.7070844439599419,0.11613327696598243,0.6848774781740152,0.13330712520677768,0.5499350315185431,0.2582554767558324,0.7405770680955982,0.09222077132483258,0.5459173433560435,0.2624726966590545,-0.4706011835314635,0.34620918177685084,0.46726949796238054,0.35010774725461313,-0.43673729208468526,0.38654558000171374,0.2852782262663593,0.5836911545966705,0.5014823415334888,0.3108340154057432,-0.31415395533941715,0.5442714192274247,0.43572955456532847,0.3877695280831324,-0.3395343328405457,0.510269864594654,0.3101760671959439,0.5496567937099492,-0.43594355529438994,0.38750950227283576,0.3291633304015072,0.5240871806339129,-0.5246945717033243,0.28518350288243544,0.2566450289645252,0.6234846333826752,-0.18624908090853678,0.7238567497591115,-0.2810500655723682,0.5895248530395159,0.3013004984514228,0.5617255817968719,0.23008651154851684,0.6609605999509889,-0.022831318263324487,0.9657589732353021,-0.05383694021754485,0.9193226106016944,-0.20889520631353287,0.6912149922323656,0.05019936181286621,0.9247642078723457,-0.20876313784912826,0.6914044557447481,0.030306979273866035,0.9545534497663173,-0.011422154229125282,0.9828675137554558,0.15877318753478958,0.7638414693924509,0.08453148082675482,0.8735047916194578,0.020899959743731163,0.9686546250225267,0.0055421949764045434,0.9916867926522162,-0.052490546607418774,0.9213364925745391,-0.05540534013719924,0.9169770301131742
HOMER3,plum1,0.9779552306129379,7.236012172314181e-4,0.9677912249368361,0.0015394010113799715,0.8685840466286114,0.0247704424031921,-0.8020814769092636,0.0548812060333936,-0.6501758662336024,0.16216018603357035,-0.6461137090897778,0.16569369582876747,-0.7985191887043975,0.05680226783857409,-0.7875416253172107,0.06291280880937257,0.6849862710467359,0.13322049317141924,0.7234733412322583,0.10412790847244437,0.5550972348331413,0.25287601926092995,0.5513676757659381,0.25675811370205653,-0.42721335802610627,0.39816558565562493,0.6395477860691877,0.17147267692843057,-0.6206739043480993,0.18854213923476626,0.43724324850376955,0.3859315719226432,0.3566845355296013,0.48766258803476814,-0.48982690486473884,0.3240218245093499,0.23964478976911394,0.6474141705827223,-0.28615246830963187,0.5824868424568914,0.3395095968519801,0.5103026914097697,-0.44478702578431323,0.37681679276658425,0.20897922838032182,0.6910944610770968,-0.3775630446736613,0.4605669663178069,0.44352829295442225,0.3783324150457017,-0.10310766786483755,0.8458865768669559,-0.23638909268342825,0.652021048956618,0.2909744092536504,0.5758562213303864,0.25107463340138564,0.6313017304636699,-0.19777515958617528,0.7072052496639823,-0.033869780317725626,0.9492147565861939,0.015126507238458743,0.9773119696996091,-0.12946361616834096,0.80688953444318,-0.25541314912322743,0.6252113266727921,-0.21580181825010514,0.6813222637947918,0.13798528780855207,0.7943356840635143,0.007096395485474832,0.9893555854548708,-0.19216065234639915,0.7153068563476637,-0.09999813869649117,0.8505027640362303,0.00554305906205643,0.9916854965635564,0.11724143528066003,0.8249436213274517,-0.15984896927557044,0.7622687519795708
LOC105261377,plum1,0.975042292232777,9.265578474234666e-4,0.9590454009380923,0.0024815726282280274,0.7257325680594721,0.10251837835010874,-0.7441800787939253,0.08979483014500642,-0.8467791876154621,0.033416372830632916,-0.7605389717766974,0.07914683871982434,-0.5887433830961273,0.21891967933844678,-0.7459686936620186,0.0886012948866918,0.6690210736287522,0.14619169210406538,0.5280755261459311,0.281517274520645,0.7389320780506015,0.09333795713349395,0.6766359090239488,0.13994032737745413,-0.4892267239492472,0.3247063579728084,0.4057558585764667,0.4247675914839559,-0.41860155440437136,0.4087728703809575,0.38850953902864677,0.44655644069314115,0.3852379486754601,0.45072932710497937,-0.4035556474623884,0.42752749225108233,0.4848982760940537,0.32965876387771925,-0.2565412068978138,0.6236301130109072,0.2674434145207085,0.6083994543740618,-0.2829005192901847,0.5869698677994049,0.31029972692350394,0.5494891570380767,-0.5381643369757079,0.2706853018604123,0.2976958227982021,0.5666475849184076,-0.3062540164851467,0.5549809905285679,-0.34774914898843445,0.49940283676559083,0.2378075398011265,0.6500129869450997,0.07309404368406162,0.8905541956809535,-0.041579343926001586,0.9376669261657545,-0.07823802762550285,0.8828824134374856,-0.27847978768486115,0.593078510386911,0.008038054066566417,0.9879431785707457,-0.1333184047808693,0.8012071799637195,-0.03364357569401396,0.9495536768755453,-0.13189438796460545,0.8033056439848183,0.204360988763402,0.6977259231167279,0.11796216880881959,0.8238774728978068,-0.016075557318520946,0.9758887411734584,0.09942365115893162,0.8513559277599594,-0.0028673986014848924,0.995698913885612,0.04553239979027325,0.9317485991872511
CGN,plum1,0.9742438980366278,9.865221824210304e-4,0.9416227230908792,0.005012387539458067,0.8137283894215998,0.04881412580935912,-0.8364050474549173,0.0379557916554833,-0.8074887209164276,0.05202359782154384,-0.7367782987909676,0.09480975080898825,-0.6330744308062877,0.1772511629589632,-0.8088994392118806,0.05128969526540181,0.7746504136636951,0.0704517536130611,0.5392811002560539,0.26949632130378876,0.6819764390936046,0.13562618781293104,0.6545622763760383,0.15838076957628947,-0.4675640565638862,0.34976244141278773,0.5119749546559522,0.2991365842678016,-0.48418590879118406,0.33047643928318715,0.39529894165521806,0.4379365415375856,0.3984394118123635,0.433967800477361,-0.48379252074043777,0.3309282972453244,0.44158065645194344,0.3806816889237251,-0.2175467132241778,0.6788278003043946,0.3558452930304757,0.48876167081958816,-0.31586442738262377,0.5419603090279863,0.2267814290011401,0.665659520142371,-0.5050504718405547,0.306837414040599,0.42238467698637877,0.40410155944260784,-0.1662386975315528,0.7529389822203915,-0.41988556317734216,0.4071853835003076,0.1810851082832367,0.7313413923907424,0.0997825914406382,0.8508228587954865,-0.0023038187129759014,0.996544278044388,0.03315181065662483,0.9502905016403203,-0.21832412943762347,0.6777170621062665,-0.03196252624662973,0.9520725371377494,-0.16186698297012017,0.7593200574947726,-0.0633315323232491,0.9051297091978756,-0.053893743436397315,0.9192376529931221,0.05208501273913837,0.9219431302669885,-0.011722597772331603,0.982416908797084,0.05875796720730126,0.9119644800920507,0.17428877567152565,0.7412139847282513,-0.02972248738368603,0.9554293977373491,-0.11024087969893313,0.8353085619989241
NR1D1,plum1,0.9723320099481711,0.001137686342574591,0.9626494925879538,0.0020665374989272153,0.8691135790317019,0.024575758451324342,-0.7829436471663722,0.06555705252651951,-0.5799971774948351,0.2275588095285716,-0.6169532689259298,0.1919859701233698,-0.863766926248417,0.026574970089243557,-0.6539225822234601,0.15892959531164733,0.5779884616827544,0.2295618014405255,0.7848738899969497,0.06444092802527353,0.4347802090489845,0.3889237705281663,0.48170112764202094,0.33333430427282584,-0.5541564533605846,0.2538530993613938,0.563461763320109,0.24425385562460322,-0.5442125400655861,0.264270166153091,0.4988699070902899,0.31377231163428587,0.40233365055396936,0.4290628742113864,-0.4473717169415208,0.3737112373442735,0.22933838727307462,0.6620235709930353,-0.4618723888589023,0.35645613524723707,0.4329707513122961,0.3911270163763679,-0.4774917942292819,0.33819599444129056,0.3688423312399707,0.4718260188937317,-0.19553177356564994,0.7104401909755282,0.33069080670423356,0.5220453696044992,-0.17872723724315934,0.7347637242141479,-0.07613932773251157,0.8860117057510521,0.24691147031853797,0.6371593072646371,0.2937935196172154,0.5719890603638853,-0.34911636562319537,0.4976009933285926,-0.22580325435643508,0.667051646113103,0.05636853945333778,0.9155367438636012,-0.2772181377405959,0.5948248859015262,-0.14004296505728023,0.7913088159744626,-0.21984561931856972,0.6755443708478541,0.2894066342352829,0.5780098486074745,-0.05244937962027422,0.9213980730501823,-0.24055414592212507,0.64612876995754,-0.12076226081534286,0.8197371784195289,-0.09809663250776703,0.8533270406993703,0.08692594903052568,0.8699394879319293,-0.056550608626796464,0.9152645106725179
DIMT1,plum1,0.9721731591443908,0.0011507259864231632,0.9293394710888218,0.007312964676083694,0.7695963114770709,0.07351320058754243,-0.836645969583016,0.03784729536177192,-0.8639069517328394,0.026521665382216737,-0.7857627211119504,0.06392992778271077,-0.569158621816096,0.23844912658936446,-0.7299489385072977,0.09954427908976249,0.7521991614452932,0.084499746469386,0.4651118187393325,0.3526408601232114,0.6975841843683214,0.12335421988210914,0.6696699226343762,0.14565446793213427,-0.5731457220618642,0.2344194608284385,0.3775558969397528,0.46057615954209413,-0.3463943290938981,0.5011902663446492,0.39835646612379977,0.4340724711864138,0.46135167758301476,0.35707076797738513,-0.4356573873540069,0.3878572297773122,0.5634675868102986,0.24424789376048367,-0.29643709657026995,0.5683690529937154,0.4143559538886755,0.41403663348126124,-0.26557534308238095,0.6110025347539096,0.3505084942539906,0.495768330251288,-0.47783178814433,0.33780236349235765,0.31914517084337785,0.5375352924159359,-0.2628296834788113,0.6148335387876762,-0.41959652061270414,0.407542560963461,0.10111550299160851,0.8488436654035363,0.04245577235636627,0.9363546045733357,0.021331976131196754,0.9680068893952657,-0.057588146938478,0.9137132721040009,-0.3408424507230164,0.5085347671286423,-0.05251134489653578,0.9213053811318893,-0.03637612422678217,0.945459880511278,0.0380454438959897,0.9429593687052545,-0.08126223136545607,0.8783749625657978,0.06284641325091675,0.9058544914722528,0.08676084335047246,0.8701852786664969,0.1359072559634647,0.7973942727185516,0.1959769174007511,0.7097980619438131,-0.13913420404268825,0.7926453966268755,-0.0018724158136183497,0.9971913795618621
