gene_id,moduleColor,GStraits1.num_LTR,p.GS.traits1.num_LTR,MM.darkorange,p.MMdarkorange,MM.black,p.MMblack,MM.bisque4,p.MMbisque4,MM.greenyellow,p.MMgreenyellow,MM.darkolivegreen,p.MMdarkolivegreen,MM.darkolivegreen4,p.MMdarkolivegreen4,MM.darkslateblue,p.MMdarkslateblue,MM.antiquewhite4,p.MMantiquewhite4,MM.thistle,p.MMthistle,MM.plum1,p.MMplum1,MM.plum3,p.MMplum3,MM.floralwhite,p.MMfloralwhite,MM.darkorange2,p.MMdarkorange2,MM.darkgrey,p.MMdarkgrey,MM.indianred4,p.MMindianred4,MM.salmon2,p.MMsalmon2,MM.skyblue,p.MMskyblue,MM.lavenderblush3,p.MMlavenderblush3,MM.darkviolet,p.MMdarkviolet,MM.thistle2,p.MMthistle2
PARVA,black,-0.9968474650921425,1.0699654248910508e-6,-0.9784628014640991,1.2924018516174754e-4,0.9420974027270941,0.001501732816469382,0.9104921122337013,0.004384883446414499,-0.7748781057809813,0.04073863244134698,-0.6867606212299646,0.08832574010075499,-0.6331394935139305,0.12692494779281333,0.6059698466701223,0.14923189500405998,0.49711247378136186,0.2563631303030578,-0.4977192778065413,0.2556905810587607,-0.4661582213914843,0.29172921406501906,-0.38373227579831765,0.3954397804427212,0.3212978683425289,0.4822604570449685,-0.3754722247882488,0.4065433891194954,0.29326927734457126,0.523261591473809,-0.26339581095890346,0.5681938054348266,-0.1531615849735551,0.7430238353738051,-0.009103332839574117,0.984546342532395,-0.003724962283160491,0.9936763514961897,-0.00945613889235722,0.98394747774818625,-0.06513013319773447,0.8896660143502813
XXYLT1,black,-0.9959215326999513,2.0358545811438268e-6,-0.9577098322032599,6.90464839120016e-4,0.9431917766714061,0.0014326340514393672,0.8912665207456578,0.007056407684053411,-0.8182742561125524,0.024454016199637867,-0.6519283929502228,0.11257453962426488,-0.5631054908343425,0.18809376063827773,0.5590525957898022,0.1919961475380744,0.5762936060118241,0.1756656008659725,-0.5923932880507474,0.1610595835184755,-0.5240496430176455,0.22729590805488237,-0.37221559569477425,0.41095448599403156,0.2708410204736203,0.5568828496385844,-0.37593658440993355,0.40591594306821466,0.3479819726352211,0.44435561232933396,-0.23714221506565608,0.6086387080202771,-0.11836032549541678,0.8004697722268843,-0.006937792205161922,0.9882223216003507,-0.08799060131816977,0.8512001096692068,0.09668982221828927,0.8366204753378088,-0.007329626214730777,0.9875571743155658
PRNP,black,-0.9955822959707972,2.4855173105342856e-6,-0.95492987627498,8.083666058856469e-4,0.9435532794342755,0.0014102295243115504,0.8894416841695261,0.007348741208551778,-0.8264969937019767,0.02188329350898053,-0.651724627875632,0.11272541515132609,-0.5457733191349298,0.20505312620203095,0.543084346953202,0.2077472716479533,0.5935600046008961,0.16002549606843033,-0.5847892936623303,0.1678800938886984,-0.5370290461054152,0.2138756340841039,-0.35337911305495723,0.4368302465642884,0.2659160797402292,0.564356822784443,-0.3725114096776177,0.4105530340419292,0.35616330723309775,0.43296731060413457,-0.2753642792445996,0.550046819836463,-0.12230909618575023,0.7939112228253834,-0.012368217309762102,0.9790046681077725,-0.11270611353839383,0.8098770778849347,0.09486130584347587,0.8396820461138007,0.014470010514469122,0.9754375188497222
SLC6A6,black,-0.9948550085765064,3.636783129067203e-6,-0.9811052418665998,9.330328596776036e-5,0.9479801222229659,0.0011525656607439692,0.9024345131438363,0.005415130724596063,-0.7810298902790639,0.038148046767971934,-0.6746453331686859,0.09641128569429885,-0.6291414742461846,0.13009248546773364,0.615400257074103,0.14128232039816713,0.49472346978844367,0.25901882988180086,-0.48329756091171394,0.2718923648233705,-0.45105752328653725,0.3097183421495732,-0.39892115082677504,0.3753450401395696,0.30622473859444266,0.5041646678476688,-0.39358861725858707,0.3823516585644385,0.30735706781708533,0.5025072689881642,-0.2848650940066935,0.5357784902775726,-0.17724865467230533,0.7037977838813931,0.009947326814522808,0.9831137289851665,-0.0032026197701792887,0.9945630916984778,-0.02889274816243507,0.9509706179327188,-0.07520801993117249,0.8726836799174176
FAM107A,black,-0.994703658235506,3.909853584621487e-6,-0.9822551517419836,7.979828163372911e-5,0.9519929649152874,9.45049129737113e-4,0.89399897004462,0.0066314809150232355,-0.7905161620142127,0.03433736331030073,-0.6578133208216618,0.1082622512948414,-0.624431635263477,0.1338750469718635,0.625298977065401,0.13317432456590148,0.4979615054148103,0.25542233492844,-0.5127837805378913,0.23925507464515938,-0.44813764691055646,0.3132510243308599,-0.4226110326888028,0.34486632500236464,0.2873835305517436,0.532017191474528,-0.40494392739687896,0.36749522107023375,0.3230565135075622,0.47972745423446045,-0.2525662203126952,0.5847739463562023,-0.19862904275065715,0.6694092321487104,0.029664403134368904,0.9496622999717191,-0.001625788568518855,0.9972399792518755,-0.013025484490766294,0.977889126555366,-0.09311097552233773,0.8426142130821599
ADAM33,black,-0.9943720935590105,4.549989324259927e-6,-0.9841425274595684,6.030306395484705e-5,0.9555576134628533,7.807791922633831e-4,0.8931387793297313,0.006763600997607335,-0.7903549573486833,0.03440026189806054,-0.6571872031788037,0.10871689958474744,-0.6296532985161358,0.12968475519049566,0.6333640723932177,0.12674820183420277,0.49397280829672413,0.2598558734445973,-0.5025430961454252,0.2503729696264468,-0.4366616975298357,0.3273032043974667,-0.3885237043694404,0.38905516986569044,0.2862811742945388,0.5336624765874598,-0.4154674047452972,0.3539440465948746,0.32409204607811315,0.4782382124636184,-0.2613111757358051,0.5713737723865515,-0.18456917861998454,0.6919752378103302,0.035385137255538816,0.9399659263130988,0.00420210358760983,0.9928663503704633,-0.02074244824252267,0.9647941009854973,-0.0968783126575854,0.8363049695982262
GINS4,black,-0.9942091382260255,4.886109715621286e-6,-0.9713973050291423,2.6168805938113265e-4,0.9288835201521196,0.0024924688679304296,0.9153821897068297,0.0038206014785232946,-0.7625964241833935,0.04619330982152727,-0.6979890163839964,0.08116524324409437,-0.6405026098050569,0.12119577732516759,0.5973122157604916,0.15672229209037822,0.4947639535997082,0.2589737224667123,-0.5337080571442308,0.21727265052466643,-0.48412224558546246,0.27095372077554464,-0.323525373099513,0.47905296093093286,0.33950225672419426,0.45627659398659637,-0.34728319965401844,0.4453334811042953,0.27001452242698215,0.5581348892214741,-0.20828614092733627,0.6540223726197094,-0.12350288002011173,0.7919303399973392,-0.03023259432181343,0.9486990061322556,0.0032795302552031205,0.9944325264613154,0.02623339342740624,0.9554801309030378,-0.0652065551951423,0.8895371019391002
CB1H4orf46,black,-0.9935459309191487,6.405228371924088e-6,-0.9680588880594776,3.442363946619605e-4,0.9448204520587693,0.0013333338236784702,0.8974901474931269,0.0061107074527816255,-0.7958289599395003,0.03230022559874857,-0.6677361842170593,0.10118908190732025,-0.6014723259065727,0.15310015806278324,0.5894562736825272,0.16367736758760462,0.533277596843545,0.21771482336526846,-0.5326039321662943,0.21840767240096506,-0.4823004267382242,0.2730292454672661,-0.31313315421189863,0.4940826213002275,0.29405165167380165,0.5221014414680919,-0.3864015483345497,0.3918778181070558,0.3211420038736936,0.4824851825021881,-0.2647238130480506,0.5661709598423434,-0.11700490930335176,0.8027231625404191,-0.0018980215885741078,0.9967778242794839,-0.04175174613298475,0.9291817974639079,0.035023045068533674,0.9405794907105844,-0.038884723177928016,0.9340371387239808
MARVELD1,black,-0.9934142733720608,6.736419798339715e-6,-0.9633074350498462,4.8563315797525876e-4,0.9508017187030551,0.0010041189874790883,0.8850538931521936,0.008079946017538222,-0.824626812007003,0.022453838889987195,-0.6480371122672852,0.11547384730260496,-0.5515772802153472,0.1992954654978945,0.5584225911106832,0.192606242616587,0.574761426044047,0.17708816495650462,-0.5233767987065422,0.22800209724012796,-0.5068304631714334,0.24568993170009107,-0.39396743576366566,0.38185217872349375,0.26060887651506665,0.5724463405162888,-0.3930615719962551,0.38304701822023685,0.3619034556606381,0.42504469595323857,-0.34237652678580077,0.45222265002178,-0.1725439216058012,0.7114211144348411,0.006558038968498632,0.988866966673515,-0.10111275378190487,0.8292217894459432,0.02876218233904621,0.9511919971146441,-7.432576219407039e-4,0.9987382070202864
TMEM150C,black,-0.9928028775619214,8.40764840018862e-6,-0.9829783181057217,7.194295030542468e-5,0.9628344513845369,5.013061996626782e-4,0.8794842233748406,0.009066352411094705,-0.8071454284837687,0.028191521949360046,-0.6329915872363977,0.127041420355886,-0.6152836101551923,0.14137931132153372,0.6409100689602755,0.12088269860695594,0.5070683488492881,0.2454312877137406,-0.530789845530499,0.22027859808977615,-0.4318511720731307,0.33327231778966654,-0.3883313867844972,0.3893106308353116,0.25658122063088895,0.5786096303135617,-0.43742456129466106,0.3263608522989852,0.35150848356077374,0.43943299076404296,-0.2438961269424685,0.5981533751541669,-0.19311245356066115,0.6782407022965743,0.06130146536686076,0.8961268280392418,-0.005610320441929331,0.9904757740987343,-6.375825079436676e-4,0.9989176065371423,-0.10617563273362049,0.8207649266203724
