gene_id,moduleColor,GStraits1.num_LTR,p.GS.traits1.num_LTR,MM.black,p.MMblack,MM.pink,p.MMpink,MM.darkgreen,p.MMdarkgreen,MM.lightyellow,p.MMlightyellow,MM.antiquewhite4,p.MMantiquewhite4,MM.lightcyan,p.MMlightcyan,MM.grey60,p.MMgrey60,MM.mediumorchid,p.MMmediumorchid,MM.darkseagreen4,p.MMdarkseagreen4,MM.orangered3,p.MMorangered3,MM.mediumpurple2,p.MMmediumpurple2,MM.plum2,p.MMplum2
CDCA7L,black,0.8429326841773666,0.15706731582263336,0.8653824974833109,0.13461750251668908,-0.9847900528054424,0.015209947194557615,-0.51021022808627,0.48978977191372997,0.6650100394811089,0.33498996051889096,0.1417191608658651,0.8582808391341349,-0.7476824424375581,0.25231755756244173,0.6864415147826265,0.3135584852173735,-0.08957506636929545,0.9104249336307045,-0.19433794280728275,0.8056620571927172,-0.2862210522010031,0.7137789477989969,0.3286954811416806,0.6713045188583193,-0.6842889701158306,0.31571102988416944
P4HA3,black,0.8428933984545285,0.15710660154547154,0.8244040442340451,0.17559595576595483,-0.8871175293888791,0.11288247061112089,-0.45395665234029303,0.546043347659707,0.2646251872912461,0.7353748127087538,0.5589262898800476,0.44107371011995244,-0.8321479373004341,0.16785206269956582,0.8153060506181418,0.18469394938185818,-0.16531542766017215,0.8346845723398278,-0.6348631097347083,0.3651368902652917,0.13699261781018565,0.8630073821898143,0.049944069404092295,0.9500559305959078,-0.41627365221619134,0.5837263477838086
LOC101083342,black,0.8420121425964199,0.15798785740357998,0.8698842035657623,0.13011579643423762,-0.9843359639584793,0.015664036041520668,-0.5380083535732616,0.4619916464267384,0.723298342248246,0.2767016577517538,0.08787692488798794,0.9121230751120121,-0.699015653284776,0.300984346715224,0.6315204152288761,0.36847958477112386,-0.04157379222672428,0.9584262077732757,-0.1192950828239294,0.8807049171760706,-0.36250519261135267,0.6374948073886474,0.33630690518665146,0.6636930948133485,-0.6889850820464004,0.3110149179535996
TANK,black,0.8419660513492607,0.15803394865073922,0.8498351416424038,0.15016485835759616,-0.9664613338252397,0.033538666174760284,-0.46007975114397254,0.5399202488560274,0.5137691517566731,0.48623084824332685,0.2873111658018745,0.7126888341981255,-0.8286974456161229,0.1713025543838771,0.7838978110167079,0.21610218898329212,-0.16995639679586388,0.8300436032041361,-0.37370269708416687,0.626297302915833,-0.10670237799804462,0.8932976220019554,0.2704393189617398,0.7295606810382602,-0.6310002184200336,0.3689997815799664
SLU7,black,0.8419478515089636,0.15805214849103638,0.8469861107647849,0.15301388923521506,-0.9606015977012899,0.03939840229871006,-0.45464333342886726,0.5453566665711327,0.4856519907330569,0.514348009266943,0.31601883623355637,0.6839811637664437,-0.8372203769465295,0.16277962305347043,0.7955220167014203,0.2044779832985796,-0.1779779281005814,0.8220220718994187,-0.40535061848528076,0.5946493815147192,-0.07594247976289409,0.924057520237106,0.253306164505615,0.7466938354943851,-0.6146835658279235,0.3853164341720765
TMC7,black,0.8419329127094256,0.15806708729057434,0.872771317720224,0.127228682279776,-0.7631088520316492,0.23689114796835062,-0.9272120315598608,0.07278796844013921,0.8583293823947393,0.1416706176052606,0.09123650354612123,0.9087634964538788,-0.017322091523480073,0.9826779084765199,-0.06103202780524384,0.9389679721947561,0.6619004304885513,0.3380995695114487,0.21192890963290034,0.7880710903670997,-0.7675712788492204,0.2324287211507795,-0.18075437487682738,0.8192456251231726,-0.1508804568536494,0.8491195431463506
LOC101087740,black,0.8419131842509368,0.15808681574906322,0.8284520812650362,0.17154791873496372,-0.9063487848957734,0.0936512151042266,-0.4462580653380184,0.5537419346619816,0.3094126784609874,0.6905873215390126,0.5060245448870546,0.49397545511294527,-0.8454816470696702,0.1545183529303298,0.8235085083969476,0.1764914916030524,-0.18131521449085558,0.8186847855091444,-0.59116161563111,0.40883838436889,0.09873061231107634,0.9012693876889236,0.10356914603994706,0.896430853960053,-0.46889547474679133,0.5311045252532087
TMEM202,black,0.8418510369141361,0.15814896308586382,0.8523684781271643,0.1476315218728356,-0.9712575382581737,0.028742461741826278,-0.4660019153845963,0.5339980846154038,0.5402549883895712,0.4597450116104288,0.26047555490605284,0.7395244450939471,-0.8190013905081429,0.18099860949185712,0.7712880860453791,0.22871191395462073,-0.1607800829197543,0.8392199170802457,-0.34331854873226314,0.6566814512677368,-0.1363567630586891,0.863643236941311,0.2851694441042581,0.714830555895742,-0.6448619867705553,0.3551380132294447
GNG2,black,0.8416313233336998,0.15836867666630008,0.8022706182762237,0.19772938172377622,-0.7717980106722747,0.22820198932772515,-0.5328468633400714,0.4671531366599285,0.08966237055598172,0.9103376294440182,0.7805306280409297,0.21946937195907018,-0.6841526047272822,0.31584739527271777,0.6878511341742741,0.3121488658257259,-0.007530118387523794,0.9924698816124762,-0.7746817122165777,0.22531828778342225,0.2475840958624937,0.7524159041375063,-0.24344902517140388,0.7565509748285961,-0.1221344448203059,0.8778655551796941
HINT3,black,0.8415992985662255,0.1584007014337745,0.8772250253993619,0.12277497460063817,-0.7990584559382391,0.20094154406176087,-0.8915692820086588,0.10843071799134114,0.8933974342527897,0.10660256574721029,0.038631649813495955,0.961368350186504,-0.08083354060077956,0.9191664593992204,-0.0018634491761449184,0.9981365508238551,0.59465007141148,0.40534992858852004,0.23096349958184223,0.7690365004181577,-0.7761854736252323,0.22381452637476762,-0.08960695277566223,0.9103930472243378,-0.2428348236401583,0.7571651763598417
B3GNTL1,black,0.8414843963760871,0.15851560362391293,0.8787605507419619,0.12123944925803806,-0.9667385838666345,0.033261416133365515,-0.6171921589470745,0.38280784105292553,0.833316924281068,0.16668307571893193,-0.0023839766254835225,0.9976160233745165,-0.5623660650445049,0.4376339349554951,0.48337415411847034,0.5166258458815296,0.0965340419363346,0.9034659580636654,0.033894580797380794,0.9661054192026193,-0.5243928456427931,0.4756071543572069,0.307378720369783,0.6926212796302169,-0.6538642703220593,0.3461357296779407
