genes	logFC	logCPM	LR	PValue	FDR
TPBG	-5.38944062577546	4.73377264357888	414.778105294377	3.34249035320568e-92	1.64534725516388e-90
LOC111559857	-5.38913758785281	3.03068057213569	38.6807002332367	4.99119941641622e-10	1.3046513756287e-09
MYO1D	-5.38074974943399	5.93090018746592	218.809568971861	1.64456137690109e-49	2.38581643170904e-48
LOC101096902	-5.37750533607788	9.09933223727515	538.371927669652	4.26203674773005e-119	3.79086123692927e-117
AMOTL1	-5.36341503063643	4.30655291072983	126.136923192514	2.86983391592485e-29	2.07933977604959e-28
PIEZO2	-5.36192768773774	5.49128771943584	58.0097454945996	2.60822441669047e-14	8.9226181172565e-14
LOC102901978	-5.35758851585815	0.532427527415395	16.5090355875245	4.84187851955353e-05	8.57299660443189e-05
CYP1A1	-5.35685857676065	2.56829824573204	60.8359138517209	6.20358054967858e-15	2.21996610291911e-14
FRMD6	-5.35198290984003	7.44204604702719	663.077173497194	3.19982879908833e-146	5.73169333636698e-144
HOXC9	-5.34891480119793	1.7766941406012	46.9638756094157	7.23072492123376e-12	2.1477351291836e-11
PTPRK	-5.34692470912503	4.53408260000342	163.165354633682	2.30195816280228e-37	2.25082292840492e-36
MMP19	-5.3466052714574	4.0025485826224	61.2219092226448	5.09909248410018e-15	1.83439318737629e-14
ZNF521	-5.3410902459093	4.59774086880156	91.473365267819	1.13104356435862e-21	5.80233446679915e-21
COL5A3	-5.34062943791732	5.72826526988779	56.879714880927	4.63300251238961e-14	1.56010008883261e-13
LOC101090350	-5.33418243673877	2.27637823279803	141.099632205844	1.53022776883392e-32	1.24670546649722e-31
LOC111556346	-5.32747194245429	0.307876281485433	68.0303927962232	1.60994784866522e-16	6.28815790558308e-16
VLDLR	-5.30590227208574	4.78632844472613	370.628773835382	1.36549735308275e-82	5.10458532252414e-81
LOC101083114	-5.29269850468762	3.9686229138186	68.8709585905079	1.05121477132746e-16	4.14222942432333e-16
LOC101093179	-5.29246263067747	0.214838394292505	18.3586072198392	1.82990436293188e-05	3.36809998126623e-05
8-Sep	-5.28372382533443	6.72474264449802	627.066395452394	2.17197984131027e-138	3.21977287510099e-136
TGFB3	-5.28364560013447	4.59466740852283	87.8862487247457	6.93289904079498e-21	3.42056614112979e-20
SERINC2	-5.27518546565331	4.1050258100085	40.2724487099211	2.20902368966437e-10	5.91401739498815e-10
DAAM2	-5.27115096639612	6.11223375565242	238.043355298182	1.05038507158119e-53	1.76851387313088e-52
MMP14	-5.26281123412888	9.82327100079783	358.309955069269	6.57035377500418e-80	2.3152418753068e-78
NEO1	-5.26026901769031	4.25592163178545	75.8437351679625	3.07024972894724e-18	1.31115929649777e-17
ANGPTL2	-5.25798639775488	5.51043988960176	144.711222623997	2.48367792641772e-33	2.09633470006606e-32
DBN1	-5.25266371828014	6.99143361322521	816.557042966546	1.35614958443641e-179	5.14419446778718e-177
ANTXR1	-5.25222872678771	6.06447505925828	245.538372929954	2.43864766715294e-55	4.30838889907828e-54
PRR16	-5.25008395681368	2.27610705079242	75.0484166669965	4.59311159601246e-18	1.94667631461626e-17
LOC102902323	-5.24791080625248	2.5979795543752	81.076735823528	2.17120972989991e-19	9.78068176266821e-19
GNG12	-5.24753721169491	6.57328500392101	297.677746124934	1.05613327529449e-66	2.64484482552874e-65
MLANA	-5.24686010452682	2.8976356597205	35.1678087617572	3.02482535360377e-09	7.49926424172007e-09
CNKSR3	-5.24106565001287	4.30935044613219	153.250840549577	3.37638806870336e-35	3.04938914020079e-34
HDX	-5.23977247033004	1.48617593105119	103.072665178618	3.23078149131307e-24	1.86514721994023e-23
TRIB3	-5.23789994364834	5.48155894731534	403.810616469164	8.15494525354216e-90	3.71640738285983e-88
SLC35G1	-5.23744741090681	2.57431353957736	130.729845209999	2.83704790598517e-30	2.12852861218678e-29
TM4SF1	-5.23681098447757	5.49145458878495	238.246245388118	9.48654428844383e-54	1.60141311110026e-52
PCSK6	-5.23121628755872	3.78654032170551	155.876651713573	9.00786500474467e-36	8.33987329261967e-35
EPHB2	-5.23017571645187	4.28302904258879	31.0327797182356	2.53707260280334e-08	5.81906906604209e-08
SYT11	-5.22834726505226	5.50500449866994	390.323754008617	7.03713197154688e-87	2.93714857725049e-85
CTSK	-5.22648489023851	9.14308796926453	326.178344179406	6.53376625553938e-73	1.95060146753915e-71
CYGB	-5.22087556833782	0.142334104155066	36.0818781806538	1.89198169026635e-09	4.76300758527525e-09
MFGE8	-5.21637868063169	5.49288838510182	139.605586793039	3.2468605430711e-32	2.61227451178964e-31
VSIG10	-5.21035805958442	4.04303413238789	179.409086275039	6.52291776350091e-41	7.12932799965011e-40
AMDHD1	-5.2054220395475	4.45259413680069	212.006633073063	5.01285357467495e-48	6.92934325322431e-47
ZNF423	-5.20506718302099	3.72481199846937	79.3463518602248	5.21223982456267e-19	2.30766416125591e-18
KCTD15	-5.20400774573975	5.97578200704585	261.691897908807	7.34052820671299e-59	1.45200601659475e-57
PTGFRN	-5.20323342704089	6.27639067891723	332.771004626106	2.39478415817918e-74	7.40660222734697e-73
SH2D4A	-5.20129890955926	3.04636583082472	74.0068647759237	7.78458419364655e-18	3.25755296383711e-17
SLC2A13	-5.19635245814746	6.27667873690286	639.474804977525	4.34672610963853e-141	6.83655202878147e-139
BST1	-5.19388091351734	3.1071636582452	39.2173389349763	3.79158116841838e-10	9.99183128914832e-10
LOC101096643	-5.19296085442934	0.960496533052088	61.109362601335	5.39907705748462e-15	1.93744843657148e-14
FBLN7	-5.18957302803437	2.05988529939976	52.26772369886	4.84268853579017e-13	1.54022574712912e-12
HSPB8	-5.1882434715651	5.07177510223951	60.627133418329	6.89766738111667e-15	2.45743691199618e-14
TBX2	-5.18097673638887	2.84418948779192	113.566358875399	1.6216245406783e-26	1.036891011459e-25
ADAMTS12	-5.18063248776896	5.4948201347848	84.0512166027295	4.8212162646509e-20	2.26627807466615e-19
SULF2	-5.1727421009999	6.35188101811415	174.755941784395	6.76866353516922e-40	7.17300358365467e-39
LOC111556247	-5.16997653355422	2.70427907015512	44.0465842721276	3.20652937181668e-11	9.10292962983045e-11
ANKRD1	-5.16506964379596	3.53965370545126	33.9286835647193	5.7169617821433e-09	1.38567292058452e-08
SRXN1	-5.14518702951263	5.45776971349526	479.09448251708	3.36343187045331e-106	2.21317249149165e-104
TRNAL-CAA_5	-5.13517281788631	-0.209705427234349	37.963604131898	7.20767320096689e-10	1.86661368017811e-09
FAM19A5	-5.12536196517448	2.51842579394948	169.157203910073	1.13043130674733e-38	1.14706314422661e-37
TRNAS-GCU_6	-5.12443349470353	0.594688933003212	66.5555191366914	3.40176286782691e-16	1.30806606160893e-15
LOC109492280	-5.11594984044391	0.130080008822682	56.2278030117349	6.45423790489352e-14	2.15648461811947e-13
A4GALT	-5.11475230290525	4.80749346334602	124.028187428105	8.30553299180406e-29	5.88551972501631e-28
KCNS3	-5.11424871743919	3.10700374670409	121.310883129076	3.26706323036318e-28	2.23766938300552e-27
TTC9	-5.11300185026896	2.9476681099344	41.4704187255079	1.19668083472548e-10	3.2698289672573e-10
LOC105260921	-5.10899174920517	3.16071673133739	173.245011409014	1.44697763579645e-39	1.51229096992438e-38
B9D1	-5.10667195799215	3.3544951931875	246.875624449657	1.24623100952379e-55	2.22304859333725e-54
CCDC160	-5.104200506117	1.98975642959842	111.838516950894	3.87631397946054e-26	2.44105573208508e-25
PSPH	-5.10259428987678	5.38112226791351	590.613708099888	1.84254828429622e-130	2.28493704063158e-128
PYGO1	-5.09555904079254	5.11663535461567	160.140698732883	1.05416220239391e-36	1.0048433055635e-35
DIP2C	-5.09476604270855	6.75656387382231	334.311129815515	1.10620517646275e-74	3.4627980972913e-73
MELTF	-5.09374859652579	4.53671782447381	59.2734797916564	1.37213327792668e-14	4.78281159065417e-14
CD70	-5.09179198850059	4.89834108803281	47.0241666231305	7.01167833570484e-12	2.08507298813893e-11
LOC101086873	-5.08661844573902	3.04457719935705	209.876731328285	1.46136792998172e-47	2.00077093343676e-46
CPEB1	-5.07732773831589	4.62318046506655	296.686517860766	1.73652361292234e-66	4.28220746383546e-65
PACSIN3	-5.07706054387958	2.68376450309665	106.655061149272	5.2980544319356e-25	3.16484520651567e-24
LOC111559092	-5.07288942994811	0.89656863330037	61.8397055741176	3.72585162097964e-15	1.35130225972369e-14
CAV1	-5.07189609839586	6.57201390829759	250.342723468061	2.18636705360736e-56	3.97148956202453e-55
HOXC6	-5.06937134354241	2.54829222226675	88.2014645166844	5.91161218419613e-21	2.9256355464151e-20
TSPAN11	-5.06803367228174	3.51068330571387	44.5809612640103	2.44053382904702e-11	6.9992361114564e-11
NUMBL	-5.06319254529522	3.51618400102819	205.915216828363	1.06927781438781e-46	1.4290648675813e-45
LOC102899623	-5.05999529733522	0.785278141936838	80.0594517757918	3.63312077313005e-19	1.61964599416033e-18
RCAN1	-5.05906559393402	6.66711264557858	116.345016255562	3.99402775224061e-27	2.61344373011909e-26
GTF2IRD1	-5.05588831219731	4.3614442166576	68.8223899296161	1.07742497141443e-16	4.24291598666621e-16
BMP6	-5.0446624678158	5.38402605057916	310.123425224814	2.05275611489744e-69	5.60898212157465e-68
KIAA0408	-5.03826845554351	3.40465771715393	72.598726655259	1.58881552795575e-17	6.54663062749053e-17
RTL9	-5.03640367010158	1.50421597863997	67.6997900423052	1.90383810229464e-16	7.39795119171256e-16
HS3ST2	-5.03577152916031	0.859069150551055	32.5808482881753	1.14335873517219e-08	2.70566928578269e-08
SYNC	-5.03433797830227	5.55075039922535	522.022666417721	1.53633404931617e-115	1.26204460089367e-113
PRICKLE1	-5.03421541834421	5.78993366354452	248.017647316788	7.02452874526742e-56	1.26353343413827e-54
TNFAIP6	-5.03338189284489	2.03605584910221	61.203715415793	5.14643166300394e-15	1.85039111117262e-14
SOHLH2	-5.03148023495408	2.78334138481352	18.5307258771699	1.67187278236479e-05	3.08913227423477e-05
GGT5	-5.02723008075998	3.22840353230985	32.6137977787191	1.12413869596526e-08	2.66262934102185e-08
COL21A1	-5.02450026743861	3.13207907463227	78.6132246404716	7.55420100919598e-19	3.32627280353706e-18
GXYLT2	-5.02339545496067	4.96858888006133	262.560473779613	4.74683691185489e-59	9.41845471572193e-58
GPC1	-5.01715394050613	4.91194608587653	124.503477302255	6.53644994659382e-29	4.64722133193057e-28
ELOVL4	-5.01563459592307	5.93379030154755	224.564384076588	9.13735153627914e-51	1.39957746749872e-49
HS6ST2	-5.00989138963051	0.670649363652623	42.7183634412863	6.3216045257601e-11	1.75521493151191e-10
FKBP9	-4.99848874996786	7.54259940846311	367.192185767682	7.64801110707448e-82	2.8021704331801e-80
LRRC49	-4.99499440670698	3.01211802771262	175.100218680836	5.69274238981458e-40	6.03777126656568e-39
ATRNL1	-4.98602299309636	4.1678794484438	74.9960456159114	4.71657794644065e-18	1.99638023548556e-17
PLEKHH2	-4.98430998759875	4.89000414994078	207.082224019016	5.94925497914548e-47	8.01143933154103e-46
SEMA4C	-4.98312161269334	3.40297435901181	181.375268487142	2.42744604738676e-41	2.69885962699543e-40
DAB2IP	-4.98078325927555	5.41414528843614	297.703278782994	1.04269160834934e-66	2.61626336048277e-65
MID1	-4.97974215707224	4.21840138080668	213.571184309516	2.2843628932826e-48	3.19885214274328e-47
CTSB	-4.97236328560151	10.6861513754872	158.080154649706	2.97253377960871e-36	2.79218996035059e-35
FNDC4	-4.97082258644004	2.6221297225417	54.0426737595758	1.96182233814159e-13	6.38446194676054e-13
VASH2	-4.9677605860113	6.13061309415673	142.13233744044	9.09798236707722e-33	7.4975513474885e-32
AMPD3	-4.95717900392712	5.2856731189561	73.8819050612218	8.29330664988777e-18	3.46256962977024e-17
ZNF469	-4.95273342464825	5.08948013921833	184.073152793415	6.25373439682893e-42	7.08116001017584e-41
TMEM233	-4.94896493202002	1.72087951581837	22.4439483157469	2.16366118373756e-06	4.29105617202265e-06
SRPX	-4.93304573443959	5.44300726643507	290.681976326536	3.53150998618904e-65	8.23614544156963e-64
ARMCX4	-4.92950992432427	3.93929036743815	160.750722987355	7.75580235726887e-37	7.43139546817954e-36
LOC101086288	-4.9275479098342	2.57204698232393	44.5802962825095	2.44136288911746e-11	7.00005717673363e-11
LOC109502412	-4.92404071153449	0.95149795909769	54.0989312919551	1.90644926662109e-13	6.21366595694016e-13
NEFM	-4.92219873580279	3.34374090424555	43.5767932692954	4.07644574844374e-11	1.14865459509895e-10
MEIS3	-4.91070403834201	3.89037447268079	262.987065812044	3.83196152842713e-59	7.63845561547522e-58
RHOBTB3	-4.90532631292601	6.48670444882979	260.45829971439	1.36338364630976e-58	2.6601450660298e-57
AK1	-4.90372812707542	4.0279500943791	282.323221441103	2.34063270943992e-63	5.21366840304779e-62
RHBDF1	-4.89971790275179	4.89279930201246	450.67447607028	5.14435780935073e-100	3.05745542245144e-98
TBC1D16	-4.89651293404342	3.70486890977661	61.7339304409749	3.93146954310597e-15	1.42307501255789e-14
SAMD4A	-4.89405385019177	6.74730124676544	514.510622616999	6.61973672499033e-114	5.17422694195153e-112
FGF2	-4.89260242719912	4.32050674581997	113.405016227933	1.75909349172143e-26	1.12145470898325e-25
FAM20A	-4.891834246242	3.48133812426596	153.263583566707	3.35480606005541e-35	3.03202058560158e-34
IL11RA	-4.88732153284152	6.46089658401167	453.336589555504	1.35514966261455e-100	8.16699308352328e-99
SNTA1	-4.886494728883	4.87272966673993	182.454796921537	1.41077628001686e-41	1.57940813223762e-40
GRIN3B	-4.88030046559071	4.22596465131482	199.255689150219	3.03569868418701e-45	3.85348483562597e-44
PFKM	-4.87905598451525	5.50365237950339	314.484233231451	2.30349296358541e-70	6.45829320681761e-69
LOC102901096	-4.87286639115677	1.18258156939212	86.1265394292093	1.68782436598735e-20	8.16499281625612e-20
SLC6A9	-4.87009464708653	4.37989597652203	185.256454421606	3.44994346029694e-42	3.93751511570351e-41
EDN1	-4.86901515797154	2.65544874050304	40.6619411462925	1.80977909082887e-10	4.87381936404675e-10
SH3RF3	-4.86711549770273	4.58379652313442	221.142686903628	5.09491929131169e-50	7.5527786321893e-49
LOC109497745	-4.86162145015403	1.06237812897428	86.1120647296655	1.70022378977906e-20	8.21573106660943e-20
DSEL	-4.84876329014068	5.11547902206209	411.208808616833	1.99986562237231e-91	9.73293091763611e-90
VSTM2B	-4.84536921333854	1.33684462441094	36.5712018897743	1.47190260549398e-09	3.73904429841557e-09
ADGRL2	-4.84413510695701	6.72796476354365	185.269325979515	3.42769385745676e-42	3.91558615408502e-41
ABCA8	-4.84405109521436	4.66690693632242	110.423241204352	7.91516470735785e-26	4.91487141217112e-25
ADAMTSL1	-4.84379516522806	4.23808555845113	59.0269738218591	1.55525300670479e-14	5.40334442777404e-14
GPX7	-4.83864985143507	0.927481425310971	77.7531472332992	1.16757088835085e-18	5.09754967740721e-18
RHOU	-4.83220363805326	3.91433535912937	120.59737251419	4.68117638366263e-28	3.18255834581428e-27
HMGB3	-4.8242879186505	5.49336203960822	324.362147959395	1.62461600218654e-72	4.7619710409545e-71
SIX5	-4.82166674859974	2.40666664537174	117.943051350407	1.78438442216717e-27	1.18137607252002e-26
LOC101087132	-4.82122988755849	3.61713442152385	184.659983952721	4.65614821249635e-42	5.29077916269299e-41
PLXNB2	-4.82115538159347	8.16298064742662	308.823930229562	3.93935501125985e-69	1.06511240210101e-67
FXYD1	-4.81790477158086	1.95638853311863	101.145630266649	8.5463266047631e-24	4.8427932434811e-23
SHISA4	-4.81580312294997	4.19756609177356	359.217513950747	4.16839199816576e-80	1.47286990685873e-78
CSF1	-4.81074430637555	7.54803756227518	105.279816840611	1.06050874786559e-24	6.24823267301167e-24
HECTD2	-4.80459838158484	4.30136534536973	160.991877661326	6.86972057345623e-37	6.6118497190944e-36
RAI2	-4.80310952222147	1.402484220942	59.603485123068	1.16029509672784e-14	4.06971059627386e-14
