genes	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	X2654MINUS	X2654PLUS
CCDC115	5.471394110462999	5.837225207632996	5.787650114644866	5.5404003339138805	5.633901631594774	5.874695647951616	5.884972021643598
IMP4	4.0947281925533066	4.382730765831054	4.531333555490716	4.50745488748299	4.373358681678885	4.377844268083468	4.3533001780613425
PTPN18	2.6554668862279547	3.838377159249214	4.037221538203322	2.5151949937564257	2.5183273699120883	2.4645664634188384	2.9600763445856075
CENPJ	4.256709219596958	4.372084772501736	4.359234600941238	4.372054818845243	4.443612815007362	4.4294881329125655	4.366980375477238
PARP4	6.97772359773579	6.332689708678575	6.193156329206932	7.5121073763961865	7.455011091119532	6.961121429081301	6.983263008057049
MPHOSPH8	4.93042824706285	4.78105648781745	4.742749420945065	4.872525071393126	5.021306529051592	4.9012482711157075	5.001200110931177
PSPC1	5.425278238935669	5.314778284063048	5.1305566274409875	5.387033231411911	5.39969456161676	5.441728944314942	5.42561664371191
ZMYM5	4.367276006271252	3.9606612389535876	3.8940522857311395	4.0012195669392	4.14877135016225	4.381883173562157	4.584581062298572
ZMYM2	7.019239924212983	6.92675980792805	6.863711161302366	7.002920414928616	7.060567570134623	6.929737971830522	6.936435324760886
CRYL1	6.324599213774053	6.793481412315493	6.862014800178595	5.824128659720753	5.733080034717089	6.534723740333016	6.522131214696835
LOC109493944	-0.39629659141167123	0.5828551063064882	0.0626919272954372	-0.12971832562005048	-0.058712814719385505	-0.4339951307611449	-0.5698525927453789
IFT88	5.6726157354875815	5.381319791043176	5.265000662687768	5.716437892744306	5.770766125342107	4.808270127980156	4.8823997831859405
IL17D	-0.7596865371820719	0.053385309386079036	0.12437072308750623	0.3537227540782837	0.5629108305535439	-0.22300343994510646	0.02073828533700397
EEF1AKMT1	3.9910960614229616	4.439919603641345	4.616971361921112	3.812372347520709	3.8282560150465845	4.102379890720174	3.823682791521335
XPO4	5.877476367925745	5.908947141380419	5.865345705758538	6.0532397249331655	6.079819589020723	5.734854250871469	5.852519148008221
LATS2	7.376210370415026	7.5911731540910825	7.629237327209727	7.199289004840954	7.015469031224496	7.710933471604473	7.819470803442991
LOC109494173	-0.318143102197678	0.46757386900193054	-0.06918881015449949	0.22490539198528678	-0.1477424164183883	-0.038968425491707356	0.7621908249271697
SAP18	6.050400852699208	5.982530444913236	6.059416239391776	5.783728102983598	5.678285137238667	6.585515566110921	6.709624221486471
SKA3	0.7929387952295178	-0.057374447781576375	0.3476770204612891	1.1292589352625308	1.2081394186721548	1.5344442904275457	1.5182818151092898
MRPL57	4.4809407888841495	4.509572830871302	4.412744521208862	4.594765546071495	4.634251840377612	4.598675950020885	4.572823995215824
ZDHHC20	6.1508591180054735	6.07322849617913	5.872103631051698	6.19968932561113	6.221527223359402	6.631190656131952	6.641609797174975
LOC109494403	0.4350329252953327	-0.17734996449089135	0.12437072308750623	0.7151884582599525	0.7221356700657263	-0.5523176313510614	0.43858176042244434
MICU2	5.642393888391442	5.584038560452227	5.361006814807816	5.929512917275144	6.06874752413581	5.845745234982158	6.001378037639811
