gene_id	4438	4460	4474	4501	4510	4520	DC1MINUS	DC1PLUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	X2654MINUS	X2654PLUS
CCDC115	6.04482785670962	6.297636732657435	5.998103235230666	5.664323401904786	5.379582233238625	6.087913805170734	5.596200464360786	5.590261605039318	5.970278088621389	5.925342712104818	5.673329412019529	5.780008738877409	6.012019101806023	6.005002667546106
IMP4	4.009690716614192	3.9776195655158486	3.956032580047227	3.5001435266325007	3.1978353291824715	3.781677932131905	4.219694176227198	4.287511364067638	4.515907676506117	4.669123498933078	4.640475681258389	4.519564378045151	4.5152884602258165	4.473479460634827
PTPN18	3.488881294861142	3.4722928304075538	3.6399979035264476	3.6524291698999454	3.4671962787166413	3.4653408722348678	2.7808771757478272	2.782919710376346	3.9716435760701825	4.17507986797126	2.6487499765880864	2.6649759295566118	2.6025278907874845	3.08062518477044
LOC102899369	0.9539974680868091	0.3890284601122425	0.2163588846067649	1.1487678965995574	2.546800199280998	-0.38413587586093906	-0.11405621237686021	0.25549279327123875	-1.2303127863910739	-1.3251121455251773	-0.9253746712705774	-1.020708494155401	-3.1594303636665324	-1.678776868621864
CENPJ	3.3785437447421423	3.6726235388497015	3.489139744520094	3.628138526409537	3.4093496591296506	3.247591151927503	4.381647633564658	4.3554267663530215	4.5052631295087915	4.497045757198378	4.505093262608246	4.589810468692154	4.566925749859901	4.487157513657489
PARP4	5.87524847832585	5.9743314170187425	5.941115812401831	5.506709378206957	5.741784009465959	5.595373731328584	7.102465162503618	7.187291512790211	6.465721876689543	6.330831751670342	7.644971135701328	7.601067554524041	7.098409826012389	7.103251766288105
MPHOSPH8	5.7771781009177126	5.746621240248997	5.504330061539484	5.632113806682924	5.4482179043951	5.287748148003637	5.055280086613272	4.857105290144075	4.914186284635562	4.880516541499651	5.005505761784816	5.167451000734937	5.038635567026094	5.121297185467187
PSPC1	6.26977213955301	6.204532601252465	6.27670514913901	6.410668275177651	5.854455002115188	6.128364812745884	5.550087840386051	5.610947182115345	5.447862261700834	5.26828966139987	5.5199721425701815	5.545814118465151	5.579075589498875	5.545676757703703
ZMYM5	5.040705904966272	5.010901390499912	5.073540169880048	4.869382236793744	4.650395117693473	4.799350935518777	4.492197302158614	4.314468980807373	4.093904512954117	4.031935216775098	4.1343157573470215	4.295005548987654	4.519326842953476	4.70472668846851
ZMYM2	7.087118174196001	7.081514473958212	7.058669746286596	7.149444491787471	6.953354604019533	6.992297282593442	7.143980490589001	7.02041021644614	7.0597749145697835	7.001366911734133	7.135793634725715	7.206630319036675	7.067027054999685	7.056425294143989
GJA3	-0.47998179409213326	-0.19356031939812537	0.1641931799472458	0.7289156289196116	0.08683863760880307	0.13463570016245333	-2.4253730738507513	-2.5513364676858235	-2.210899141729751	-3.3510024729851686	-2.2695529169794177	-2.514755487443039	-3.1594303636665324	-3.3115071325481598
CRYL1	6.577467663320905	6.9717838465222295	6.949250593437817	7.104665485640577	6.931259012192302	7.571012328013356	6.44936093044202	6.4820249560495355	6.926499759907725	6.999670589726929	5.957042085876472	5.879182449512451	6.672022867615089	6.642133799236309
IFT88	4.483268766148898	4.708837790121353	4.660951174671598	5.02941661156526	4.47351378217593	4.529350794623362	5.7974090730614405	5.731418424222035	5.51439915498794	5.40272386198009	5.849356900395881	5.9168668399582	4.94566608443212	5.002509305055157
IL17D	-0.9429372673242113	-1.504854736863767	-1.5707705669696344	-0.41959606260259985	0.27134094590732627	-0.8751796473186362	-0.6274887270185495	0.5253659196361016	0.19028781781369095	0.2655412051481551	0.48975375491311746	0.7113196969212213	-0.08121538660400444	0.145261791929998
LOC111558748	0.9243813221283981	0.12694401148301812	0.7639704047838285	1.1487678965995574	1.7571341918564682	0.39929952446382183	-0.1879166644045185	0.15301628666019315	-1.3801458623818026	-0.07224129689089645	-0.46193418185419144	-0.09244914541650556	-1.4409126804489425	-0.16115482470672182
EEF1AKMT1	3.586657357385068	3.647800156830431	3.5360762248771342	3.840366225049287	3.428890716689282	3.5009884956791697	4.116081378103494	4.141264319215537	4.573088924841621	4.754751655897315	3.945504166463366	3.9745393990971802	4.23986342151298	3.943962852510152
XPO4	6.180984593962254	6.315084752545182	6.202670585719014	6.028360032739671	6.005254519915235	6.124941682473016	6.002258193062501	6.135812314060133	6.041996566386273	6.003034628215397	6.1861425760406705	6.2259079163098	5.87218444893539	5.97255158196812
LATS2	4.682179524059495	4.524772903012251	4.850310522323347	4.2594802058521735	4.707513151933355	4.54309525918252	7.500943440788661	7.570361135946998	7.724175902238986	7.766879387462725	7.332158176317296	7.1615326144601905	7.8482092207276315	7.939443412659519
SAP18	5.317700467028426	5.530081380077239	5.471168047130276	5.4291611954931875	5.091558895637424	5.361354225748933	6.175174154667408	6.086270460769715	6.115576498353658	6.197096802108339	5.916643574383659	5.824390104656793	6.722813242722789	6.829620647025159
SKA3	2.818522341147544	2.953915315836189	2.9177866420353706	3.278766946416626	3.3074653068190587	2.876277244526327	0.9202032876764896	1.4372278777384964	0.07984047617078749	0.48833925807237544	1.2639644683492197	1.3556932296081574	1.6730430622596197	1.6398545280865946
MRPL57	4.953589675554004	4.819673681000587	5.071771421925644	4.805830070638901	4.345697285359215	4.855508733510065	4.605845802419119	4.686459044111536	4.642733305677529	4.550548808852754	4.727775806106337	4.780429543750367	4.7360936028491505	4.692971205280846
