genes	4438	4460	4474	4501	4510	4520	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	X2654MINUS	X2654PLUS
KATNAL1	2.4184764939855943	2.582065314373584	2.925297115113892	3.038042775997908	2.310665999080169	2.2537525094650084	2.7523218266366185	2.6997740932244625	2.55096515436676	3.134320271561489	3.3302563463806085	3.1394307262629746	2.9996248581028215
HMGB1	8.727037183951836	8.742334393028138	8.77206438050481	8.479716962695191	7.977680190317204	8.718288822672191	7.301247133491306	7.009645729864517	6.869418690654723	7.060298614650816	7.102961930696664	7.038581828217855	7.057537378921573
USPL1	4.6575775372800905	4.876886853089945	4.578766030981841	5.038703883679922	5.075671782383699	4.161169756487328	2.6425396029501065	2.606812253988229	2.4523174450569813	2.4216388859133877	2.6354282179928097	2.8740077329613962	2.572156298175833
MEDAG	-2.8098620563850227	-1.9799289655954033	-3.3381331978427125	-1.735005252861684	-0.10872569349139394	-3.1183838281631453	8.919320003386847	8.32914438935735	8.358876878488395	8.71747400857869	8.703390911819886	8.418054061033121	8.552379039310937
LOC111559528	-2.4061597660751395	-1.9799289655954033	-2.0350803388311713	-1.3819254149124442	1.6813736817309073	-2.4755978775086147	2.8088589898652034	1.447004517302298	1.3332268215448289	1.5720954871821757	1.7939654520782464	1.4015586069587782	1.5966399853134474
HSPH1	6.1396401651202765	5.47754837150165	5.36505407823851	4.932521502024477	4.998622650499692	5.631237944779127	6.44646048128064	5.984112750088493	5.971483571165092	6.457624689229659	6.626174417063937	6.028266361882461	5.985805609183343
LOC111559537	1.6488085030012087	1.7217439410213273	2.1387660464642533	2.1587668030187013	1.6002474409976044	1.2494726701711678	3.3872597990220923	2.465699420335477	2.43949834260996	2.9090956998015964	2.7445400180141264	1.5304025034291089	1.6682108114796832
B3GLCT	3.9605834309994874	4.183275973999643	4.142197158726651	4.026243121714277	4.000900347622346	3.3594648662291893	5.615220015013228	5.152468151970017	5.101315322321213	5.4070753356494	5.617080373296402	5.413553014718051	5.303046732282509
FRY	8.617805786546015	8.782292414275966	8.90378015597175	9.003524133292114	8.770643606253936	9.162923823361773	5.796238931044925	4.7293198148312126	4.600376904444633	5.168754452804817	5.227130772312456	5.268683509419079	5.146870817765596
BRCA2	3.1374511790129462	2.6767057810298285	2.925297115113892	3.203724442285149	3.6441344547154086	2.402268014794289	1.4080042791722576	1.1102284924995058	1.4400562176725467	1.7309614982662316	1.2629180204809454	0.7793725153658957	0.8011928296179802
N4BP2L1	5.110223507278392	5.136180754124158	5.175319431027626	5.1135073986162425	4.546950015800593	4.933595937179842	2.063400597157538	2.3210262268831623	2.373636480686985	1.0890062444133881	1.0876078587985711	2.0435695918877452	2.7254211628811933
N4BP2L2	6.7280231194063065	6.803419242654847	6.757002516312989	6.5040246944129585	6.237705574409043	6.592353570193981	6.203645780170939	6.415403728440177	6.365484759562155	5.906143591301604	6.006864028944438	6.102688397222403	6.196144363224444
PDS5B	5.969844359632599	5.505215258554985	5.711145991192337	6.553481183177015	5.9815535819794095	5.482738837144166	4.672362855633388	4.783420791010789	4.703163892519667	4.696723880744001	4.73139893510422	4.180172081867717	3.8741563713540677
