genes	DC1MINUS	DC2MINUES	DC4MINUS	X2654MINUS
CCDC115	5.468524324962189	5.832266611028685	5.5421188604873866	5.8749790728962825
IMP4	4.091943723865368	4.377847032371332	4.509222331236296	4.378197148506626
PTPN18	2.65291990739464	3.833547452436638	2.517247379736908	2.465216914682878
CENPJ	4.2539100155028935	4.367201912049359	4.373831676506666	4.429837230848841
PARP4	6.974819185850932	6.327718610165809	7.513791065625435	6.96138468776733
MPHOSPH8	4.927582771684758	4.776144316579236	4.874271125553883	4.901568421307049
PSPC1	5.422410189100052	5.309838456862253	5.388757002441842	5.442025710029856
ZMYM5	4.364467653002889	3.9558175628165575	4.0030272250889425	4.382235753264094
ZMYM2	7.016334978745851	6.921778411592574	7.0046091498022305	6.930001625268377
CRYL1	6.32170557194288	6.788501972134288	5.825838838364666	6.534993171558954
LOC109493944	-0.3961028732633172	0.5794943449739428	-0.12566759945062372	-0.4307314788726614
IFT88	5.669738993387778	5.376377179086376	5.718151048260669	4.808595260215317
IL17D	-0.7586012259689289	0.05075150055482831	0.35709651774441736	-0.2201500833551739
EEF1AKMT1	3.988321925883238	4.435031289173216	3.8141990092479885	4.102755401488861
XPO4	5.874593473006465	5.9039864588143045	6.054944263424641	5.735141555401032
LATS2	7.373301418776696	7.58618429850294	7.200975580587454	7.71118945477541
LOC109494173	-0.31811357446031446	0.4643495194108438	0.22843801452494342	-0.03642716646997806
SAP18	6.047513402589091	5.9775677273397	5.785439372451226	6.585784162850461
SKA3	0.7913832903258472	-0.05981948127409172	1.1319252044020052	1.535461474943517
MRPL57	4.478123733163508	4.504679176730117	4.5965273715084605	4.59901356332083
ZDHHC20	6.147969261780291	6.068263408962333	6.201390700827537	6.6314585271314614
LOC109494403	0.433862286905582	-0.17957351429542048	0.718185187528507	-0.5487962883423807
MICU2	5.6395181302170165	5.579088214906566	5.931220390197549	5.8460294325207
FGF9	-0.24412488499845436	0.20217897417203168	0.22843801452494342	-0.32160202683356687
SACS	6.594854910473369	6.532740513542795	6.82251707498942	6.186919721194701
TNFRSF19	0.018871862245912533	-0.8914469775569527	1.2690746667028547	-0.6773912293309642
MIPEP	4.055784344510001	3.908879855268847	4.198879843916736	3.6856381961740827
SPATA13	3.7375161047209606	1.8153541457841382	1.8528563346422513	1.8237736635576005
MTMR6	6.897247027554608	7.163967582296141	6.989386637405702	7.047190106589762
NUP58	5.201910561717625	5.19865239053192	5.416091887369215	5.076260716010859
SHISA2	-2.5651494685138743	0.6861245806189369	-1.4336965283953322	-1.8597543552574969
RNF6	5.323990093415156	5.1357570545853175	5.26301656114755	4.9729320120887195
CDK8	4.655315745728743	4.87901466898725	5.05111531290084	5.151541279721739
WASF3	2.7005369427964467	2.5857115316857717	3.361517054120384	3.659253897468209
USP12	6.485611838646735	6.155141002434668	7.049732771455704	6.157766928188565
